resistance,incident_wave_ampl,incident_wave_error,reflected_wave_ampl,reflected_wave_error
0,102.0,2,-93.24,2 
10,102.0,2,-66.12,2
20,102.0,2,-47.0,2
30,102.0,2,-31.16,2
40,102.0,2,-19.76,2
10e3,102.0,2,84,1.5
5e3,102.0,2,84.5,0.75
4e3,102.0,2,83.6,1.3
3e3,102.0,2,83.6,1.5
2e3,102.0,2,81.32,1.5
1e3,102.0,2,77.52,1.5
500,102.0,2,69.16,3.0
200,102.0,2,50.0,1.0
100,102.0,2,25,1.5
