time,n,dt,threshold
0.3,1,0.3,2.6
0.6,0,0.3,2.6
0.9,3,0.3,2.6
1.2,1,0.3,2.6
1.5,0,0.3,2.6
1.8,1,0.3,2.6
2.1,2,0.3,2.6
2.4,1,0.3,2.6
2.7,1,0.3,2.6
3,2,0.3,2.6
3.3,0,0.3,2.6
3.6,0,0.3,2.6
3.9,0,0.3,2.6
4.2,2,0.3,2.6
4.5,4,0.3,2.6
4.8,2,0.3,2.6
5.1,1,0.3,2.6
5.4,2,0.3,2.6
5.7,2,0.3,2.6
6,1,0.3,2.6
6.3,1,0.3,2.6
6.6,0,0.3,2.6
6.9,2,0.3,2.6
7.2,5,0.3,2.6
7.5,0,0.3,2.6
7.8,1,0.3,2.6
8.1,1,0.3,2.6
8.4,0,0.3,2.6
8.7,0,0.3,2.6
9,2,0.3,2.6
9.3,2,0.3,2.6
9.6,2,0.3,2.6
9.9,1,0.3,2.6
10.2,1,0.3,2.6
10.5,0,0.3,2.6
10.8,2,0.3,2.6
11.1,1,0.3,2.6
11.4,0,0.3,2.6
11.7,0,0.3,2.6
12,1,0.3,2.6
12.3,0,0.3,2.6
12.6,1,0.3,2.6
12.9,0,0.3,2.6
13.2,0,0.3,2.6
13.5,1,0.3,2.6
13.8,1,0.3,2.6
14.1,1,0.3,2.6
14.4,1,0.3,2.6
14.7,1,0.3,2.6
15,0,0.3,2.6
15.3,0,0.3,2.6
15.6,2,0.3,2.6
15.9,1,0.3,2.6
16.2,2,0.3,2.6
16.5,1,0.3,2.6
16.8,0,0.3,2.6
17.1,1,0.3,2.6
17.4,1,0.3,2.6
17.7,5,0.3,2.6
18,2,0.3,2.6
18.3,0,0.3,2.6
18.6,1,0.3,2.6
18.9,4,0.3,2.6
19.2,0,0.3,2.6
19.5,1,0.3,2.6
19.8,2,0.3,2.6
20.1,2,0.3,2.6
20.4,1,0.3,2.6
20.7,2,0.3,2.6
21,1,0.3,2.6
21.3,1,0.3,2.6
21.6,1,0.3,2.6
21.9,2,0.3,2.6
22.2,0,0.3,2.6
22.5,1,0.3,2.6
22.8,0,0.3,2.6
23.1,2,0.3,2.6
23.4,1,0.3,2.6
23.7,0,0.3,2.6
24,0,0.3,2.6
24.3,1,0.3,2.6
24.6,3,0.3,2.6
24.9,1,0.3,2.6
25.2,2,0.3,2.6
25.5,2,0.3,2.6
25.8,1,0.3,2.6
26.1,0,0.3,2.6
26.4,2,0.3,2.6
26.7,5,0.3,2.6
27,3,0.3,2.6
27.3,2,0.3,2.6
27.6,1,0.3,2.6
27.9,0,0.3,2.6
28.2,2,0.3,2.6
28.5,1,0.3,2.6
28.8,0,0.3,2.6
29.1,0,0.3,2.6
29.4,2,0.3,2.6
29.7,0,0.3,2.6
30,1,0.3,2.6
30.3,0,0.3,2.6
30.6,0,0.3,2.6
30.9,0,0.3,2.6
31.2,1,0.3,2.6
31.5,2,0.3,2.6
31.8,3,0.3,2.6
32.1,3,0.3,2.6
32.4,1,0.3,2.6
32.7,1,0.3,2.6
33,1,0.3,2.6
33.3,1,0.3,2.6
33.6,1,0.3,2.6
33.9,2,0.3,2.6
34.2,1,0.3,2.6
34.5,1,0.3,2.6
34.8,2,0.3,2.6
35.1,0,0.3,2.6
35.4,0,0.3,2.6
35.7,1,0.3,2.6
36,2,0.3,2.6
36.3,3,0.3,2.6
36.6,1,0.3,2.6
36.9,3,0.3,2.6
37.2,0,0.3,2.6
37.5,2,0.3,2.6
37.8,1,0.3,2.6
38.1,0,0.3,2.6
38.4,2,0.3,2.6
38.7,0,0.3,2.6
39,0,0.3,2.6
39.3,3,0.3,2.6
39.6,0,0.3,2.6
39.9,0,0.3,2.6
40.2,0,0.3,2.6
40.5,1,0.3,2.6
40.8,2,0.3,2.6
41.1,0,0.3,2.6
41.4,2,0.3,2.6
41.7,2,0.3,2.6
42,2,0.3,2.6
42.3,1,0.3,2.6
42.6,1,0.3,2.6
42.9,2,0.3,2.6
43.2,0,0.3,2.6
43.5,0,0.3,2.6
43.8,0,0.3,2.6
44.1,2,0.3,2.6
44.4,2,0.3,2.6
44.7,1,0.3,2.6
45,2,0.3,2.6
45.3,0,0.3,2.6
45.6,0,0.3,2.6
45.9,0,0.3,2.6
46.2,1,0.3,2.6
46.5,3,0.3,2.6
46.8,2,0.3,2.6
47.1,1,0.3,2.6
47.4,1,0.3,2.6
47.7,0,0.3,2.6
48,2,0.3,2.6
48.3,1,0.3,2.6
48.6,1,0.3,2.6
48.9,2,0.3,2.6
49.2,2,0.3,2.6
49.5,1,0.3,2.6
49.8,1,0.3,2.6
50.1,1,0.3,2.6
50.4,1,0.3,2.6
50.7,1,0.3,2.6
51,0,0.3,2.6
51.3,0,0.3,2.6
51.6,3,0.3,2.6
51.9,0,0.3,2.6
52.2,0,0.3,2.6
52.5,1,0.3,2.6
52.8,1,0.3,2.6
53.1,4,0.3,2.6
53.4,1,0.3,2.6
53.7,2,0.3,2.6
54,1,0.3,2.6
54.3,1,0.3,2.6
54.6,3,0.3,2.6
54.9,0,0.3,2.6
55.2,1,0.3,2.6
55.5,0,0.3,2.6
55.8,3,0.3,2.6
56.1,0,0.3,2.6
56.4,1,0.3,2.6
56.7,2,0.3,2.6
57,2,0.3,2.6
57.3,1,0.3,2.6
57.6,1,0.3,2.6
57.9,0,0.3,2.6
58.2,1,0.3,2.6
58.5,2,0.3,2.6
58.8,1,0.3,2.6
59.1,2,0.3,2.6
59.4,0,0.3,2.6
59.7,1,0.3,2.6
60,1,0.3,2.6
